filename,split,status,original_size,processed_size,error
train\images\1021968748_d291a5bd1b_o_jpg.rf.7eaaf373a65aea85438149ed20fb6c1e.jpg,train,processed,300x225,640x640,
train\images\102272154-live-colourful-lobster-on-coral-reef-under-the-sea_jpg.rf.729b54b1f681514d43dcf6d100c8ab5a.jpg,train,processed,975x1300,640x640,
train\images\102272154-live-colourful-lobster-on-coral-reef-under-the-sea_jpg.rf.abea13906fa05976517512fdd6412824.jpg,train,processed,975x1300,640x640,
train\images\10369713475_29581be7aa_o_jpg.rf.69cad1953b477975707cf77a37bdc1a7.jpg,train,processed,300x225,640x640,
train\images\10369713475_29581be7aa_o_jpg.rf.fd812a103a0237e76582b7e4f281816b.jpg,train,processed,300x225,640x640,
train\images\10371173425_3f48194c69_b_jpg.rf.01712ef8256eda045186c3a2b21856c2.jpg,train,processed,300x200,640x640,
train\images\10371173425_3f48194c69_b_jpg.rf.862dab8d4ab9cd78ce594ed855cf3e7a.jpg,train,processed,300x200,640x640,
train\images\10404049996_e01a5220d2_o_jpg.rf.88693a8efeb9bccd020bcc8a7794b411.jpg,train,processed,300x225,640x640,
train\images\10404049996_e01a5220d2_o_jpg.rf.ff92375903307145f35ebdd52465cc86.jpg,train,processed,300x225,640x640,
train\images\10443448144_71b2f6a96f_o_jpg.rf.00268be99b6b45f0232958bd4f516e09.jpg,train,processed,300x225,640x640,
train\images\10443448144_71b2f6a96f_o_jpg.rf.3c12f518218ae5e939f0b5273fec121b.jpg,train,processed,300x225,640x640,
train\images\10465606544_52913a3632_o_jpg.rf.59cdf6458725433287f8f1fd4fb98ce8.jpg,train,processed,300x225,640x640,
train\images\10465606544_52913a3632_o_jpg.rf.b55630d3fb34eb7f099aa2a5bad1fb93.jpg,train,processed,300x225,640x640,
train\images\10508592885_c5d0dd4d2f_o_jpg.rf.75a80d51bf7ac12c2495682b814d3dab.jpg,train,processed,300x200,640x640,
train\images\10508592885_c5d0dd4d2f_o_jpg.rf.bf37375f4ae76a629926a89f9be6d585.jpg,train,processed,300x200,640x640,
train\images\10535805553_56b46747b6_b_jpg.rf.22962287db44b87c9a4a9d77872f4a10.jpg,train,processed,300x225,640x640,
train\images\10535805553_56b46747b6_b_jpg.rf.8f675505f4f1cbf2122b5ae69972a200.jpg,train,processed,300x225,640x640,
train\images\10579827996_ca08360049_o_jpg.rf.bbbcb600e61577293461d6f550c7b82c.jpg,train,processed,200x300,640x640,
train\images\10579827996_ca08360049_o_jpg.rf.dd1bae92c9b695d744f6ae922156ea45.jpg,train,processed,200x300,640x640,
train\images\10631742534_05d86a3212_b_jpg.rf.188bca678956c1f7ca6498a670e4ea2e.jpg,train,processed,300x225,640x640,
train\images\10631742534_05d86a3212_b_jpg.rf.33fd7e88410f60b9d9382be022785a82.jpg,train,processed,300x225,640x640,
train\images\10648547935_16b2bf80e6_o_jpg.rf.c50b78deef004415c9ccfb42247d6009.jpg,train,processed,300x169,640x640,
train\images\10648547935_16b2bf80e6_o_jpg.rf.f673176d7d6489f592c1ff2b745619b7.jpg,train,processed,300x169,640x640,
train\images\10735515054_d47dc36311_o_jpg.rf.12306095292f5c56ee50c5c2652ce339.jpg,train,processed,300x233,640x640,
train\images\10735515054_d47dc36311_o_jpg.rf.ea894d0b33e48f20b72aed2e2b6f218d.jpg,train,processed,300x233,640x640,
train\images\10855339414_4090e39390_o_jpg.rf.129bb29fb18487db394a92be67bb11f3.jpg,train,processed,300x200,640x640,
train\images\10855339414_4090e39390_o_jpg.rf.6fd95bc79fcdacbdf1fcd1ec9c0659e7.jpg,train,processed,300x200,640x640,
train\images\10891335195_f92393d97e_b_jpg.rf.7eee275422d940c85ea9b2c6447cedc6.jpg,train,processed,300x214,640x640,
train\images\10891335195_f92393d97e_b_jpg.rf.b0027689199cd80346513a7934845764.jpg,train,processed,300x214,640x640,
train\images\10960418766_8ec863c353_o_jpg.rf.2ea05ba4191bf72338d1a277b717591f.jpg,train,processed,300x225,640x640,
train\images\10960418766_8ec863c353_o_jpg.rf.d0db359dc355cbe4ddf6117eda5062f4.jpg,train,processed,300x225,640x640,
train\images\10RHQ1E9V2BS_jpg.rf.267133d1f01d1076831275bd379ce49a.jpg,train,processed,256x256,640x640,
train\images\10RHQ1E9V2BS_jpg.rf.798ed8ce43f68802085121a3a57ccb98.jpg,train,processed,256x256,640x640,
train\images\11013222675_4cb686e544_o_jpg.rf.479360ef4e826a6337a58c8dd7d9cd28.jpg,train,processed,300x225,640x640,
train\images\11013222675_4cb686e544_o_jpg.rf.5ed0b5bf7869737071762c4874130db4.jpg,train,processed,300x225,640x640,
train\images\11024802963_f136e2893e_o_jpg.rf.2a300fd768dbb44d63093b29d91f0f6a.jpg,train,processed,300x200,640x640,
train\images\11024802963_f136e2893e_o_jpg.rf.7f37e201bbf017579167c025e599a4cb.jpg,train,processed,300x200,640x640,
train\images\11052053193_c5704997e2_o_jpg.rf.5bfe9724b3055d433ea3549907151ee9.jpg,train,processed,300x225,640x640,
train\images\11052053193_c5704997e2_o_jpg.rf.b1e72ceffbc686f5a1980441815cc886.jpg,train,processed,300x225,640x640,
train\images\11077308473_c5e871e92e_b_jpg.rf.1ad512543ee7219e2e19272632dd257c.jpg,train,processed,300x200,640x640,
train\images\11077308473_c5e871e92e_b_jpg.rf.995cfbc084ee14176d879cdc038b9f80.jpg,train,processed,300x200,640x640,
train\images\110SCM6G8XV1_jpg.rf.7edb61bf3648ab38e1e0dee68d6fdbd3.jpg,train,processed,256x256,640x640,
train\images\110SCM6G8XV1_jpg.rf.a91ba6883b30b32b574a0efaa51f185a.jpg,train,processed,256x256,640x640,
train\images\11151847946_446fc85fe0_b_jpg.rf.053810929c81cc3b6bb92662560e6cce.jpg,train,processed,300x225,640x640,
train\images\11151847946_446fc85fe0_b_jpg.rf.61a9b29d9643ee4d1836b986ffa4e219.jpg,train,processed,300x225,640x640,
train\images\11154252405_a77b21f1ae_o_jpg.rf.6b619c607dde353955bd239be6d6d0c1.jpg,train,processed,300x300,640x640,
train\images\11154252405_a77b21f1ae_o_jpg.rf.760293cbd9e8f9e424ae9eb1f903d654.jpg,train,processed,300x300,640x640,
train\images\11166418076_80a07e1ed5_b_jpg.rf.2ecc223ef08cbd6d9337aae4cadb0439.jpg,train,processed,300x200,640x640,
train\images\11166418076_80a07e1ed5_b_jpg.rf.a4a147b7c290b79690c2797e5f9ea7f2.jpg,train,processed,300x200,640x640,
train\images\11286266343_21d186f454_o_jpg.rf.09bffa263245507ad06de9040e46e3db.jpg,train,processed,300x199,640x640,
train\images\11286266343_21d186f454_o_jpg.rf.f7a5ce0fa20daf627d331a8eb0d9c9ae.jpg,train,processed,300x199,640x640,
train\images\11293794536_e30ffd8bee_o_jpg.rf.2e21c7a2055e79b16cbbf92add961341.jpg,train,processed,300x199,640x640,
train\images\11293794536_e30ffd8bee_o_jpg.rf.cdda2630c00e91a847dd19506a5a7984.jpg,train,processed,300x199,640x640,
train\images\11522923533_2eb923173e_o_jpg.rf.d5721dc5186cb06d0b05c3917b410837.jpg,train,processed,300x200,640x640,
train\images\11522923533_2eb923173e_o_jpg.rf.e9592100d6ba4eea3039d89d92dc30ba.jpg,train,processed,300x200,640x640,
train\images\11601150023_06071a74e2_o_jpg.rf.4642aeb4da69dd6589542417a73405f6.jpg,train,processed,300x200,640x640,
train\images\11601150023_06071a74e2_o_jpg.rf.a0ce969b3f9bbda9a6aab776db8a6c2c.jpg,train,processed,300x200,640x640,
train\images\11718552145_16a0be2451_o_jpg.rf.e4b53638ba49ddbaa3f27989c801ec23.jpg,train,processed,300x206,640x640,
train\images\11718552145_16a0be2451_o_jpg.rf.f6759dfe1084ed72f0b09320c640f391.jpg,train,processed,300x206,640x640,
train\images\11761263306_2c1e899f6a_o_jpg.rf.3e09d34bb812e9ac2ef67a9ffb055cbd.jpg,train,processed,300x226,640x640,
train\images\11761263306_2c1e899f6a_o_jpg.rf.3f4bdf8d51885c35452d703ee486c2a8.jpg,train,processed,300x226,640x640,
train\images\11797327375_4ef795c2e3_o_jpg.rf.3a503a0311be19ea508dae6a66aa6e57.jpg,train,processed,300x199,640x640,
train\images\11797327375_4ef795c2e3_o_jpg.rf.5d98b8af05fce6c3bb2b8854536edb09.jpg,train,processed,300x199,640x640,
train\images\11847795285_111264ddd7_o_jpg.rf.321d0bae0ffcc7ac7d8a335df7ac6322.jpg,train,processed,300x225,640x640,
train\images\11847795285_111264ddd7_o_jpg.rf.930a13145736808ff9882498cd486d4f.jpg,train,processed,300x225,640x640,
train\images\11896612185_460db611ee_b_jpg.rf.d329538de9a0cf8be4bd20738624ccbf.jpg,train,processed,300x200,640x640,
train\images\11896612185_460db611ee_b_jpg.rf.feebd225d3fc6f07cd500474b0ce0d2e.jpg,train,processed,300x200,640x640,
train\images\11915259183_a520da138e_o_jpg.rf.a9893acf59638057cfe7e55f4e64ea45.jpg,train,processed,300x205,640x640,
train\images\11915259183_a520da138e_o_jpg.rf.e4aa66b33689e4b2c1e75d02b7cac084.jpg,train,processed,300x205,640x640,
train\images\11961677413_d615ee9b63_o_jpg.rf.d3be9f7afd70cabca8de00459729cf69.jpg,train,processed,300x225,640x640,
train\images\11961677413_d615ee9b63_o_jpg.rf.e478309a3d5f13dda7173d734c3fb0bf.jpg,train,processed,300x225,640x640,
train\images\12009561336_8197664d3c_o_jpg.rf.529b60d3396a41f221b5aaee0961e6b7.jpg,train,processed,300x200,640x640,
train\images\12009561336_8197664d3c_o_jpg.rf.8e79ddd165aed878ada23fa847a41768.jpg,train,processed,300x200,640x640,
train\images\12045478874_49da4764da_o_jpg.rf.3832b9f923c1d9facc2b034c2677ac4a.jpg,train,processed,225x300,640x640,
train\images\12045478874_49da4764da_o_jpg.rf.7e968bab6d535c0fc0762a47305372a1.jpg,train,processed,225x300,640x640,
train\images\12057230544_765e147b5e_b_jpg.rf.9285e3d54d4a2b8b88825139b6abe7b0.jpg,train,processed,200x300,640x640,
train\images\12057230544_765e147b5e_b_jpg.rf.e0ee010cc082811ac1eecfe9067476cd.jpg,train,processed,200x300,640x640,
train\images\12063434606_2542c30714_o_jpg.rf.48bee05a6ca4278bb9f7247477fae025.jpg,train,processed,300x200,640x640,
train\images\12063434606_2542c30714_o_jpg.rf.f1d20f6abce67051d8d7f1ee71146615.jpg,train,processed,300x200,640x640,
train\images\12094976564_6895956aff_o_jpg.rf.1a0239148259485e2d7512ae070ba3ad.jpg,train,processed,300x200,640x640,
train\images\12094976564_6895956aff_o_jpg.rf.fb99ff85cabd9ff9aaa7ba2c54621e41.jpg,train,processed,300x200,640x640,
train\images\12128756136_032f4d381e_o_jpg.rf.7180f45e8c13dd6a8fdd743c621dfa52.jpg,train,processed,300x248,640x640,
train\images\12128756136_032f4d381e_o_jpg.rf.947c1edbdf081f3d1598542e779dd2ad.jpg,train,processed,300x248,640x640,
train\images\12128765466_e4f3192459_o_jpg.rf.425a0aeff86df3f4d4e7009cdccb24b4.jpg,train,processed,300x247,640x640,
train\images\12128765466_e4f3192459_o_jpg.rf.f81029cda54eee5d120e29e5bb06f510.jpg,train,processed,300x247,640x640,
train\images\122019775_8b9babc8b5_o_jpg.rf.5635d00e0a729a30fb91b11911c47226.jpg,train,processed,300x225,640x640,
train\images\122019775_8b9babc8b5_o_jpg.rf.a2b2bb23015f041588303779a105c1e0.jpg,train,processed,300x225,640x640,
train\images\1244380516_b6b81e2efa_o_jpg.rf.6f0e890483cbf63e2262c4b984939e40.jpg,train,processed,300x225,640x640,
train\images\1244380516_b6b81e2efa_o_jpg.rf.d58cb8c2e21eb6642c794ecf7bfdf0f5.jpg,train,processed,300x225,640x640,
train\images\12509585685_4a6e06c312_b_jpg.rf.93a1ccb2fb6ccf780fab0d262b4c11be.jpg,train,processed,300x200,640x640,
train\images\12509585685_4a6e06c312_b_jpg.rf.d2375e082da5b3c80b7aad15f8eb7122.jpg,train,processed,300x200,640x640,
train\images\12534681684_3357d37376_o_jpg.rf.84e5c7f1cf2aea116becadb586c9a7a0.jpg,train,processed,300x300,640x640,
train\images\12534681684_3357d37376_o_jpg.rf.c618dec7f21f61d1b93bbb93dbdca5a5.jpg,train,processed,300x300,640x640,
train\images\12582965744_23f5d929b5_o_jpg.rf.0cd16c999af16d458110c7b794650a19.jpg,train,processed,300x225,640x640,
train\images\12582965744_23f5d929b5_o_jpg.rf.75f0dbaed1c31fde9687bee41a062358.jpg,train,processed,300x225,640x640,
train\images\12583941175_7fc3fb4047_b_jpg.rf.5a8da5c09b33296c9675fe22b7ff18b9.jpg,train,processed,300x198,640x640,
train\images\12583941175_7fc3fb4047_b_jpg.rf.e65decf4eac0e5011b08dc2f0eb3145e.jpg,train,processed,300x198,640x640,
train\images\12610597353_e9564cfff4_o_jpg.rf.59f5ab037c7582fcda3029805a021a46.jpg,train,processed,200x300,640x640,
train\images\12610597353_e9564cfff4_o_jpg.rf.bf52d416ddd89313efe8116650703f0e.jpg,train,processed,200x300,640x640,
train\images\1280px-Gfp-a-spiny-lobster_jpg.rf.de90fc0ba702c5ceb2a7a7cb0fe01296.jpg,train,processed,1280x853,640x640,
train\images\1280px-Gfp-a-spiny-lobster_jpg.rf.f6cf6f0918c1e372c0aeb11ff09cb8a6.jpg,train,processed,1280x853,640x640,
train\images\12942467375_1cd9c6b69d_o_jpg.rf.eaa602d180a0dfff5d0df6c45285afb3.jpg,train,processed,300x225,640x640,
train\images\12942467375_1cd9c6b69d_o_jpg.rf.f6562ef0d1b192408c68f109903a12d0.jpg,train,processed,300x225,640x640,
train\images\12976013665_3e528a4ab2_b_jpg.rf.86317ace05e4da1edd94e1121050ee41.jpg,train,processed,300x256,640x640,
train\images\12976013665_3e528a4ab2_b_jpg.rf.eab6e7f97b8c52abb76bb118095d5e3b.jpg,train,processed,300x256,640x640,
train\images\12X8PPO09TSF_jpg.rf.aac31bec1b4f6575318afc6e12d904bc.jpg,train,processed,256x256,640x640,
train\images\12X8PPO09TSF_jpg.rf.dfeaad22afccb9eefe9e516c283f23a4.jpg,train,processed,256x256,640x640,
train\images\1305918625_bb7217761b_o_jpg.rf.8e59452889c2bdf02ba37b5b1cc84201.jpg,train,processed,300x240,640x640,
train\images\1305918625_bb7217761b_o_jpg.rf.e607d246e69572cd625c7ab569592582.jpg,train,processed,300x240,640x640,
train\images\13079132095_09236fbf64_b_jpg.rf.0b3f2f8fa6d705133017bfee313bf016.jpg,train,processed,271x300,640x640,
train\images\13079132095_09236fbf64_b_jpg.rf.8e68a8e8be43408013273d11d33ac014.jpg,train,processed,271x300,640x640,
train\images\13109888833_91f518e088_o_jpg.rf.313425b19e6a5adab19728ff64ac3e3f.jpg,train,processed,205x300,640x640,
train\images\13109888833_91f518e088_o_jpg.rf.ce26c1d26909dcd9e4da17ecd5e00233.jpg,train,processed,205x300,640x640,
train\images\13116304694_f9c7345256_b_jpg.rf.4aafd740b0cf1f69e01376626d231046.jpg,train,processed,300x225,640x640,
train\images\13116304694_f9c7345256_b_jpg.rf.f28ed4f89f8857446dba8295c29cf085.jpg,train,processed,300x225,640x640,
train\images\13170307045_a6c776c632_o_jpg.rf.26b1b3c46db1fb9f2e1581df866ff7a3.jpg,train,processed,225x300,640x640,
train\images\13170307045_a6c776c632_o_jpg.rf.7763a460dedee2b9f5d47be1aa332c47.jpg,train,processed,225x300,640x640,
train\images\13170319535_7b32a747d8_o_jpg.rf.0b5a2d1e092891956e8a5e1d6dbe3a97.jpg,train,processed,300x185,640x640,
train\images\13170319535_7b32a747d8_o_jpg.rf.d7de880a7beaa1595624b63dbc62130a.jpg,train,processed,300x185,640x640,
train\images\1326VK70YBDJ_jpg.rf.39a54abc967d87eac31f602cabc83cfc.jpg,train,processed,256x256,640x640,
train\images\1326VK70YBDJ_jpg.rf.e7ff0ecf15d7aef8fa1fb54f0cd9b961.jpg,train,processed,256x256,640x640,
train\images\13417518303_194c9e58a1_b_jpg.rf.47640e25f3e00484d33b8c4f0db2d303.jpg,train,processed,300x200,640x640,
train\images\13417518303_194c9e58a1_b_jpg.rf.b5e6f5b60f1f744000db1245e186067a.jpg,train,processed,300x200,640x640,
train\images\13429680144_7fb0023332_o_jpg.rf.91a7e512b74a2865e369359188112083.jpg,train,processed,225x300,640x640,
train\images\13429680144_7fb0023332_o_jpg.rf.e420cd93fa805f66e6bcf4f9e91f3426.jpg,train,processed,225x300,640x640,
train\images\13464352474_e0c447f654_b_jpg.rf.b5fb580551bc48aa5a82ec602a4096b4.jpg,train,processed,300x200,640x640,
train\images\13464352474_e0c447f654_b_jpg.rf.d45b181a49c501e1da42553b1d8f68bb.jpg,train,processed,300x200,640x640,
train\images\13477502995_fb30ed4350_b_jpg.rf.139b3e37606387ba47a38e4872f939d9.jpg,train,processed,300x200,640x640,
train\images\13477502995_fb30ed4350_b_jpg.rf.4ffabfe151258d1587b46f0aff3aae27.jpg,train,processed,300x200,640x640,
train\images\1353058507_531aeb2ccf_o_jpg.rf.7e886a5c0d69c67ec4db9ced03d0a759.jpg,train,processed,300x225,640x640,
train\images\1353058507_531aeb2ccf_o_jpg.rf.c2949454d9133a09cf0f3384649043cc.jpg,train,processed,300x225,640x640,
train\images\1353125199_0cb316c061_o_jpg.rf.862bc86e15e68930e7e9447729bd9fe4.jpg,train,processed,300x225,640x640,
train\images\1353125199_0cb316c061_o_jpg.rf.cd2d5b5f1b3718d0b9418db670facc84.jpg,train,processed,300x225,640x640,
train\images\1353131489_b3da1fe635_o_jpg.rf.16d7f0e94fbc1cec0a5fe653f1f2c214.jpg,train,processed,300x225,640x640,
